não_terminais,typeInt,typeDouble,symbol_parameter_init,id,double,typeBoolean,reserved_prt,reserved_scn,laps,circuit,pitEntry,typeStr,typeChar,op_arit_sum,op_arit_sub,integer,op_arit_mult,op_arit_div,op_arit_pow,op_rel_minor,op_rel_bigger,op_rel_equal,op_rel_not,op_rel_double_equal,op_rel_minor_equal,op_rel_bigger_equal,op_rel_not_equal,op_log_e,op_log_or,end_line,bool_false,pitExit,brake,overtake,quotes,$
S,S -> <BEGIN>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESERVED_TYPES,RESERVED_TYPES -> typeInt,RESERVED_TYPES -> typeDouble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEGIN,BEGIN -> typeInt reserved_main symbol_parameter_init symbol_parameter_end symbol_op_end <CODE_BLOCK> symbol_op_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODE_BLOCK,CODE_BLOCK -> <ATTRIBUTION> <CODE_BLOCK>,CODE_BLOCK -> <ATTRIBUTION> <CODE_BLOCK>,CODE_BLOCK -> <EXPRESSION> <CODE_BLOCK>,CODE_BLOCK -> <EXPRESSION> <CODE_BLOCK>,CODE_BLOCK -> <EXPRESSION> <CODE_BLOCK>,CODE_BLOCK -> <ATRIBUTION_BOOL> <CODE_BLOCK>,CODE_BLOCK -> <PRINT> <CODE_BLOCK>,CODE_BLOCK -> <SCAN> <CODE_BLOCK>,CODE_BLOCK -> <LAPS> <CODE_BLOCK>,CODE_BLOCK -> <CIRCUIT> <CODE_BLOCK>,CODE_BLOCK -> <PIT> <CODE_BLOCK>,CODE_BLOCK -> <ATTRIBUTION_STR> <CODE_BLOCK>,CODE_BLOCK -> <ATTRIBUTION_CHAR> <CODE_BLOCK>,,,CODE_BLOCK -> <EXPRESSION> <CODE_BLOCK>,,,,,,,,,,,,,,,,,,,,CODE_BLOCK -> ε
EXPRESSION,,,EXPRESSION -> <MULT_DIV> <EXPRESSION'> end_line,EXPRESSION -> <MULT_DIV> <EXPRESSION'> end_line,EXPRESSION -> <MULT_DIV> <EXPRESSION'> end_line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPRESSION',,,,,,,,,,,,,,EXPRESSION' -> op_arit_sum <MULT_DIV> <EXPRESSION'>,EXPRESSION' -> op_arit_sub <MULT_DIV> <EXPRESSION'>,,,,,,,,,,,,,,,,,,,,,EXPRESSION' -> ε
MULT_DIV,,,MULT_DIV -> <POW> <MULT_DIV'>,MULT_DIV -> <POW> <MULT_DIV'>,MULT_DIV -> <POW> <MULT_DIV'>,,,,,,,,,,,MULT_DIV -> <POW> <MULT_DIV'>,,,,,,,,,,,,,,,,,,,,
MULT_DIV',,,,,,,,,,,,,,,,,MULT_DIV' -> op_arit_mult <POW> <MULT_DIV'>,MULT_DIV' -> op_arit_div <POW> <MULT_DIV'>,,,,,,,,,,,,,,,,,,MULT_DIV' -> ε
POW,,,POW -> <VAR> <POW'>,POW -> <VAR> <POW'>,POW -> <VAR> <POW'>,,,,,,,,,,,POW -> <VAR> <POW'>,,,,,,,,,,,,,,,,,,,,
POW',,,,,,,,,,,,,,,,,,,POW' -> op_arit_pow <VAR> <POW'> ,,,,,,,,,,,,,,,,,"POW' -> ε
"
